Face_Index,Vertex_Coordinates,Red,Green,Blue
54,"(3.198653, 1.941994, 11.296195); (2.952529, 2.012222, 11.386289); (2.995113, 1.947647, 11.685163); (3.255183, 1.883987, 11.597924)",0.8,0.8,0.8
55,"(2.745446, 1.810448, 12.00115); (3.024379, 1.825333, 11.974281); (2.995113, 1.947647, 11.685163); (2.716476, 1.929909, 11.720922)",0.8,0.8,0.8
56,"(3.275882, 1.746681, 11.889086); (3.255183, 1.883987, 11.597924); (2.995113, 1.947647, 11.685163); (3.024379, 1.825333, 11.974281)",0.8,0.8,0.8
57,"(3.292383, 1.781578, 10.875308); (3.127725, 1.94326, 10.996178); (3.198653, 1.941994, 11.296195); (3.359002, 1.767044, 11.172191)",0.8,0.8,0.8
58,"(3.198653, 1.941994, 11.296195); (3.255183, 1.883987, 11.597924); (3.435558, 1.7285, 11.47353); (3.359002, 1.767044, 11.172191)",0.8,0.8,0.8
59,"(-3.608361, 0.808624, 15.75539); (-3.509265, 0.686203, 16.008133); (-3.384804, 0.879227, 16.031078); (-3.464228, 0.98645, 15.762913)",0.8,0.8,0.8
60,"(-3.608361, 0.808624, 15.75539); (-3.678285, 0.912895, 15.480049); (-3.801085, 0.731392, 15.458982); (-3.676972, 0.602592, 15.699805)",0.8,0.8,0.8
61,"(-3.509265, 0.686203, 16.008133); (-3.608361, 0.808624, 15.75539); (-3.676972, 0.602592, 15.699805); (-3.552535, 0.454788, 15.915495)",0.8,0.8,0.8
62,"(-3.391163, 0.29834, 16.079058); (-3.375389, 0.534546, 16.219147); (-3.509265, 0.686203, 16.008133); (-3.552535, 0.454788, 15.915495)",0.8,0.8,0.8
63,"(-3.509265, 0.686203, 16.008133); (-3.375389, 0.534546, 16.219147); (-3.321076, 0.776245, 16.305901); (-3.384804, 0.879227, 16.031078)",0.8,0.8,0.8
64,"(-2.735459, 0.094421, 16.506384); (-2.720368, 0.292397, 16.685879); (-2.95939, 0.445122, 16.62118); (-2.992119, 0.205101, 16.472353)",0.8,0.8,0.8
65,"(-2.95939, 0.445122, 16.62118); (-2.720368, 0.292397, 16.685879); (-2.6461, 0.515991, 16.798973); (-2.893308, 0.679466, 16.749893)",0.8,0.8,0.8
66,"(-2.46153, -0.168335, 16.345051); (-2.485414, 0.011879, 16.538956); (-2.735459, 0.094421, 16.506384); (-2.725279, -0.104836, 16.315008)",0.8,0.8,0.8
